mr	output
"name[Alimentum], area[city centre], familyFriendly[no]"	Alimentum is located in the city centre. It is not family-friendly.
"name[Alimentum], area[city centre], familyFriendly[no], near[Burger King]"	Alimentum is a non family-friendly restaurant near Burger King in the city centre.
"name[Alimentum], area[city centre], familyFriendly[yes]"	Alimentum is a family-friendly restaurant in the city centre.
"name[Alimentum], area[city centre], familyFriendly[yes], near[Burger King]"	Alimentum is a family-friendly restaurant in the city centre near Burger King.
"name[Alimentum], area[riverside], familyFriendly[no]"	Alimentum is located in the city centre. It is not family-friendly.
"name[Alimentum], area[riverside], familyFriendly[no], near[Burger King]"	Alimentum is near Burger King in the riverside area. It is not family-friendly.
"name[Alimentum], area[riverside], familyFriendly[yes]"	In the riverside area there is a family friendly place called Alimentum.
"name[Alimentum], area[riverside], familyFriendly[yes], near[Burger King]"	Alimentum is a family friendly restaurant in the riverside area near Burger King.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[1 out of 5], area[riverside], familyFriendly[yes]"	Aromi is a kid friendly coffee shop serving chinese food in the riverside area with a customer rating of 1 out of 5.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[3 out of 5], area[riverside], familyFriendly[yes]"	Aromi is a kid friendly coffee shop serving chinese food in the riverside area with a customer rating of 3 out of 5.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[no]"	Aromi is a chinese coffee shop located in the city centre. It has a customer rating of 5 out of 5 and is not family friendly.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[city centre], familyFriendly[yes]"	Aromi is a family friendly chinese coffee shop located in the city centre with a 5 out of 5 customer rating.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[no]"	Aromi is a chinese coffee shop located in the riverside area. It has a customer rating of 5 out of 5 and is not family friendly.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[5 out of 5], area[riverside], familyFriendly[yes]"	Aromi is a 5 out of 5 family friendly chinese coffee shop in the riverside area.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[no]"	Aromi is a chinese coffee shop located in the city centre. It has an average customer rating and is not family friendly.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[city centre], familyFriendly[yes]"	Aromi is a chinese coffee shop located in the city centre. It has an average customer rating and is family friendly.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[no]"	Aromi is a chinese coffee shop in the riverside area. It has an average customer rating and is not family friendly.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[average], area[riverside], familyFriendly[yes]"	Aromi is a family friendly chinese coffee shop in the riverside area. It has an average customer rating.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[high], area[riverside], familyFriendly[yes]"	Aromi is a highly rated, kid friendly coffee shop that serves chinese food in the riverside area.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[no]"	Aromi is a coffee shop providing chinese food it is located in the city centre. Its customer rating is low.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[low], area[city centre], familyFriendly[yes]"	Aromi is a coffee shop that provides chinese food it is located in the city centre. Its customer rating is low.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[low], area[riverside], familyFriendly[no]"	Aromi is a coffee shop providing chinese food it is located in the riverside. Its customer rating is low.
"name[Aromi], eatType[coffee shop], food[Chinese], customer rating[low], area[riverside], familyFriendly[yes]"	Aromi is a family friendly coffee shop that provides chinese food it is located in the riverside. Its customer rating is low.
"name[Aromi], eatType[coffee shop], food[English], customer rating[1 out of 5], area[riverside], familyFriendly[yes]"	Aromi is a kid friendly coffee shop serving english food in the riverside area with a customer rating of 1 out of 5.
"name[Aromi], eatType[coffee shop], food[English], customer rating[3 out of 5], area[riverside], familyFriendly[yes]"	Aromi is a kid friendly coffee shop serving english food in the riverside area with a customer rating of 3 out of 5.
